player_name,player_id,team,season,strength,gp_r,points_r,gp_p,points_p,gp_r_career,gp_p_career,points_r_career,points_p_career,ppg_r_career,career_ppg_diff,fail,under_perform,career_games,career_playoff_games,delta_p_ppg,delta_diff_ppg
Mathew Barzal,8478445,New York Islanders,2023,all,56,51,6,2,416,55,362,40,0.8701923076923077,-0.14291958041958042,yes,1,471,55,-0.04823747680890533,-0.04038100401340816
Mathieu Joseph,8478472,Tampa Bay Lightning,2019,all,67,26,4,0,67,4,26,0,0.3880597014925373,-0.3880597014925373,yes,1,169,10,NA,NA
Mathieu Joseph,8478472,Tampa Bay Lightning,2021,all,55,19,6,2,159,10,52,2,0.3270440251572327,-0.12704402515723268,no,0,169,10,0.2,0.26101567633530465
Mathieu Olivier,8479671,Nashville Predators,2021,all,30,5,2,0,37,2,6,0,0.16216216216216217,-0.16216216216216217,yes,1,52,5,NA,NA
Mathieu Olivier,8479671,Nashville Predators,2022,all,10,1,3,0,47,5,7,0,0.14893617021276595,-0.14893617021276595,yes,1,52,5,0,0.01322599194939622
Mathieu Perreault,8473618,Winnipeg Jets,2018,all,70,39,9,1,70,9,39,1,0.5571428571428572,-0.44603174603174606,yes,1,279,26,NA,NA
Mathieu Perreault,8473618,Winnipeg Jets,2019,all,79,30,5,2,149,14,69,3,0.46308724832214765,-0.24880153403643337,yes,0,279,26,0.10317460317460317,0.19723021199531268
Mathieu Perreault,8473618,Winnipeg Jets,2020,all,49,15,4,0,198,18,84,3,0.42424242424242425,-0.25757575757575757,yes,1,279,26,-0.047619047619047616,-0.008774223539324194
Mathieu Perreault,8473618,Winnipeg Jets,2021,all,55,19,8,2,253,26,103,5,0.40711462450592883,-0.21480693219823652,yes,1,279,26,0.02564102564102566,0.04276882537752105
Mats Zuccarello,8475692,Dallas Stars,2019,all,48,40,13,11,128,13,93,11,0.7265625,0.11959134615384615,no,0,414,35,NA,NA
Mats Zuccarello,8475692,Minnesota Wild,2020,all,63,37,4,1,191,17,130,12,0.680628272251309,0.025254080689867564,yes,1,414,35,-0.14027149321266963,-0.09433726546397858
Mats Zuccarello,8475692,Minnesota Wild,2021,all,42,35,7,3,233,24,165,15,0.7081545064377682,-0.08315450643776823,yes,1,414,35,-0.08088235294117652,-0.10840858712763579
Mats Zuccarello,8475692,Minnesota Wild,2022,all,70,79,6,4,303,30,244,19,0.8052805280528053,-0.17194719471947195,yes,1,414,35,0.008333333333333304,-0.08879268828170372
Mats Zuccarello,8475692,Minnesota Wild,2023,all,76,67,5,3,379,35,311,22,0.820580474934037,-0.1920090463626084,yes,1,414,35,-0.004761904761904745,-0.020061851643136452
Matt Benning,8476988,Edmonton Oilers,2020,all,42,8,4,1,185,4,46,1,0.24864864864864866,0.0013513513513513375,no,0,310,12,NA,NA
Matt Benning,8476988,Nashville Predators,2021,all,51,4,5,0,236,9,50,1,0.211864406779661,-0.1007532956685499,yes,1,310,12,-0.1388888888888889,-0.10210464701990124
Matt Benning,8476988,Nashville Predators,2022,all,62,11,3,1,298,12,61,2,0.20469798657718122,-0.03803131991051456,no,0,310,12,0.05555555555555555,0.06272197575803534
Matt Boldy,8481557,Minnesota Wild,2022,all,47,39,6,1,47,6,39,1,0.8297872340425532,-0.6631205673758865,yes,1,137,11,NA,NA
Matt Boldy,8481557,Minnesota Wild,2023,all,79,61,5,2,126,11,100,3,0.7936507936507936,-0.5209235209235209,yes,1,137,11,0.10606060606060605,0.14219704645236564
Matt Calvert,8474685,Columbus Blue Jackets,2018,all,69,24,6,4,69,6,24,4,0.34782608695652173,0.3188405797101449,no,0,223,19,NA,NA
Matt Calvert,8474685,Colorado Avalanche,2019,all,82,26,8,4,151,14,50,8,0.33112582781456956,0.24030274361400183,no,0,223,19,-0.09523809523809523,-0.07853783609614307
Matt Calvert,8474685,Colorado Avalanche,2020,all,53,25,5,3,204,19,75,11,0.36764705882352944,0.21130030959752322,no,0,223,19,0.007518796992481258,-0.029002434016478618
Matt Cullen,8464989,Minnesota Wild,2018,all,79,22,5,2,79,5,22,2,0.27848101265822783,0.12151898734177219,no,0,159,9,NA,NA
Matt Cullen,8464989,Pittsburgh Penguins,2019,all,71,20,4,0,150,9,42,2,0.28,-0.05777777777777782,yes,1,159,9,-0.1777777777777778,-0.17929676511955
Matt Duchene,8475168,Columbus Blue Jackets,2019,all,73,70,10,10,155,10,129,10,0.832258064516129,0.16774193548387095,no,0,357,24,NA,NA
Matt Duchene,8475168,Nashville Predators,2020,all,66,42,4,2,221,14,171,12,0.7737556561085973,0.08338720103425978,yes,1,357,24,-0.1428571428571429,-0.08435473444961117
Matt Duchene,8475168,Nashville Predators,2021,all,34,13,6,3,255,20,184,15,0.7215686274509804,0.028431372549019618,yes,1,357,24,-0.1071428571428571,-0.054955828485240166
Matt Duchene,8475168,Nashville Predators,2022,all,78,86,4,4,333,24,270,19,0.8108108108108109,-0.019144144144144226,no,0,357,24,0.04166666666666663,-0.047575516693163844
Matt Dumba,8476856,Minnesota Wild,2018,all,82,50,5,2,82,5,50,2,0.6097560975609756,-0.20975609756097557,yes,1,394,27,NA,NA
Matt Dumba,8476856,Minnesota Wild,2020,all,69,24,4,1,183,9,96,3,0.5245901639344263,-0.19125683060109294,yes,1,394,27,-0.06666666666666671,0.018499266959882632
Matt Dumba,8476856,Minnesota Wild,2021,all,50,21,7,3,233,16,117,6,0.5021459227467812,-0.12714592274678116,yes,0,394,27,0.041666666666666685,0.06411090785431178
Matt Dumba,8476856,Minnesota Wild,2022,all,57,27,6,1,290,22,144,7,0.496551724137931,-0.17836990595611285,yes,1,394,27,-0.05681818181818182,-0.05122398320933169
Matt Dumba,8476856,Minnesota Wild,2023,all,77,14,5,1,367,27,158,8,0.4305177111716621,-0.13422141487536582,yes,1,394,27,-0.021885521885521897,0.04414849108074703
Matt Grzelcyk,8476891,Boston Bruins,2018,all,59,15,11,1,59,11,15,1,0.2542372881355932,-0.1633281972265023,yes,1,435,61,NA,NA
Matt Grzelcyk,8476891,Boston Bruins,2019,all,64,18,20,8,123,31,33,9,0.2682926829268293,0.022029897718332025,no,0,435,61,0.1994134897360704,0.18535809494483432
Matt Grzelcyk,8476891,Boston Bruins,2020,all,69,21,10,1,192,41,54,10,0.28125,-0.03734756097560976,yes,1,435,61,-0.04642014162077107,-0.05937745869394179
Matt Grzelcyk,8476891,Boston Bruins,2021,all,36,20,11,4,228,52,74,14,0.32456140350877194,-0.05533063427800272,no,0,435,61,0.02532833020637898,-0.01798307330239296
Matt Grzelcyk,8476891,Boston Bruins,2022,all,72,24,5,0,300,57,98,14,0.32666666666666666,-0.08105263157894738,yes,1,435,61,-0.023616734143049933,-0.025721997300944655
Matt Grzelcyk,8476891,Boston Bruins,2023,all,74,26,4,0,374,61,124,14,0.3315508021390374,-0.10204260541772595,yes,1,435,61,-0.016105838366407804,-0.02098997383877857
Matt Hendricks,8468611,Winnipeg Jets,2018,all,60,13,4,0,60,4,13,0,0.21666666666666667,-0.21666666666666667,yes,1,64,4,NA,NA
Matt Irwin,8475625,Nashville Predators,2018,all,49,8,12,0,49,12,8,0,0.16326530612244897,-0.16326530612244897,yes,1,61,12,NA,NA
Matt Martin,8474709,New York Islanders,2019,all,67,14,8,0,116,8,26,0,0.22413793103448276,-0.22413793103448276,yes,1,429,55,NA,NA
Matt Martin,8474709,New York Islanders,2020,all,55,8,22,6,171,30,34,6,0.19883040935672514,0.001169590643274876,no,0,429,55,0.2,0.22530752167775764
Matt Martin,8474709,New York Islanders,2021,all,54,11,19,2,225,49,45,8,0.2,-0.036734693877551045,yes,1,429,55,-0.036734693877551045,-0.03790428452082592
Matt Martin,8474709,New York Islanders,2023,all,78,19,6,1,374,55,71,9,0.18983957219251338,-0.026203208556149743,yes,0,429,55,3.710575139146688e-4,0.010531485321401302
Matt Murray,8476899,Pittsburgh Penguins,2018,all,12,26,2,9,12,2,26,9,2.1666666666666665,2.3333333333333335,no,0,38,4,NA,NA
Matt Murray,8476899,Pittsburgh Penguins,2019,all,11,28,2,2,23,4,54,11,2.347826086956522,0.40217391304347805,yes,1,38,4,-1.75,-1.9311594202898554
Matt Murray,8476899,Pittsburgh Penguins,2020,all,11,32,0,1,34,4,86,12,2.5294117647058822,0.47058823529411775,no,0,38,4,0.25,0.0684143222506397
Matt Nieto,8476442,Colorado Avalanche,2018,all,69,26,6,3,69,6,26,3,0.37681159420289856,0.12318840579710144,no,0,410,37,NA,NA
