season,team,gp,toi_gp_ev,w,l,otl,row,points,point_percent,cf_60_ev,ca_60_ev,cf_percent_ev,gf_60_ev,ga_60_ev,gf_percent_ev,x_gf_60_ev,x_ga_60_ev,x_gf_percent_ev,sh_percent_ev,sv_percent_ev,pdo_ev,toi_gp_pp,cf_60_pp,ca_60_pp,cf_percent_pp,gf_60_pp,ga_60_pp,gf_percent_pp,x_gf_60_pp,x_ga_60_pp,x_gf_percent_pp,sh_percent_pp,sv_percent_pp,pdo_pp,toi_gp_pk,cf_60_pk,ca_60_pk,cf_percent_pk,gf_60_pk,ga_60_pk,gf_percent_pk,x_gf_60_pk,x_ga_60_pk,x_gf_percent_pk,sh_percent_pk,sv_percent_pk,pdo_pk
2013,Winnipeg Jets,48,51:06:00,24,21,3,22,51,0.531,56.87,57.53,49.71,2.57,2.67,49.07,2.47,2.53,49.39,8.96,91,1,05:04:00,88.72,10.84,89.11,4.93,0.74,86.96,5.37,0.77,87.46,11.05,89.29,1.003,04:35:00,14.95,87.27,14.63,0.27,7.61,3.45,0.92,6.08,13.15,2.78,84.62,0.874
2013,Chicago Blackhawks,48,50:56:00,36,7,5,30,77,0.802,55.2,47.18,53.92,2.92,1.82,61.66,2.38,2.05,53.63,9.4,92.89,1.023,05:25:00,86.53,11.74,88.06,5.75,1.15,83.33,4.77,0.7,87.2,13.3,84.38,0.977,04:59:00,15.05,92.8,13.95,1.25,4.51,21.74,0.94,5.28,15.16,12.5,90.22,1.027
2013,Los Angeles Kings,48,50:05:00,27,16,5,25,59,0.615,57.89,44.76,56.39,2.4,2.15,52.75,2.47,1.96,55.82,7.95,91.25,0.992,05:16:00,100.91,7.11,93.42,7.82,0.24,97.06,6.48,0.31,95.4,16.58,93.33,1.099,05:24:00,11.57,93.73,10.99,0.46,6.25,6.9,0.72,6.46,9.97,8,86.43,0.944
2013,New York Rangers,48,50:31:00,26,18,4,22,56,0.583,58.29,55.1,51.41,2.4,1.88,56.07,2.65,2.35,53.05,7.68,93.12,1.008,05:25:00,84.68,17.54,82.84,5.54,0.92,85.71,5.56,1.19,82.36,12.9,92,1.049,05:00:00,13.5,93.22,12.65,1.25,7,15.15,0.98,6.65,12.89,15.15,85.93,1.011
2013,Boston Bruins,48,50:39:00,28,14,6,24,62,0.646,62.84,52.16,54.64,2.57,2.05,55.61,2.6,2.24,53.75,7.82,92.78,1.006,04:16:00,87.61,13.43,86.71,5.26,0.58,90,5.41,0.71,88.4,10.84,93.94,1.048,05:54:00,16.9,81.77,17.13,0.85,4.44,16,1.36,5.09,21.02,6.78,89.06,0.958
2013,Toronto Maple Leafs,48,49:31:00,26,17,5,26,57,0.594,51.79,64.99,44.35,2.85,2.65,51.83,2.1,2.59,44.7,10.87,92,1.029,05:28:00,90.09,14.18,86.4,7.09,0.91,88.57,5.85,0.87,87.09,15.2,90.48,1.057,05:39:00,9.07,88.45,9.3,0.22,4.2,5,0.36,5.39,6.2,5.26,90.16,0.954
2013,Montreal Canadiens,48,48:11:00,29,14,5,26,63,0.656,58.46,52.23,52.81,2.7,2.26,54.45,2.39,2,54.38,8.99,91.7,1.007,06:51:00,90.75,12.21,88.14,7.65,0.36,95.45,6.53,0.69,90.39,15,95.24,1.102,05:43:00,12.45,88.47,12.34,0,7.65,0,0.55,5.99,8.47,0,82.67,0.827
2013,New Jersey Devils,48,49:36:00,19,19,10,17,48,0.5,51.45,40.67,55.85,1.76,2.12,45.45,2.24,1.81,55.22,6.54,90.7,0.972,05:59:00,92.3,10.44,89.84,5.85,1.25,82.35,6.1,0.66,90.2,11.72,82.86,0.946,05:36:00,17.62,74.93,19.04,2.23,7.14,23.81,1.26,5.06,19.99,19.61,81.18,1.008
2013,New York Islanders,48,51:05:00,24,17,7,20,55,0.573,56.38,56.08,50.13,2.5,2.64,48.57,2.71,2.44,52.56,8.24,90.37,0.986,05:04:00,99.69,9.6,91.22,7.63,0,100,7.61,0.42,94.78,14.35,100,1.144,04:49:00,13.23,93.37,12.41,0.52,7.26,6.67,1.08,6.3,14.66,6.45,86.98,0.934
2013,Washington Capitals,48,49:39:00,27,18,3,24,57,0.594,53.82,57.17,48.49,2.49,2.27,52.38,2.24,2.35,48.87,8.98,92.73,1.017,05:25:00,97.15,15.46,86.27,10.15,0.69,93.62,6.66,1.2,84.71,20.09,92.5,1.126,05:32:00,11.5,109.35,9.51,0.68,8.12,7.69,0.48,7.45,6.02,10.34,86.72,0.971
